Provence,number,year,GDP
湖北,tGDP,1990,824.3800049
贵州,first_num,1990,100.0999985
贵州,second_num,1990,92.83000183
贵州,third_num,1990,67.20999908
贵州,tGDP,1990,260.1400146
山东,first_num,1990,425.2900085
山东,second_num,1990,635.9799805
山东,third_num,1990,449.9200134
山东,tGDP,1990,1511.189941
江西,first_num,1990,175.9600067
江西,second_num,1990,133.5599976
江西,third_num,1990,119.0999985
江西,tGDP,1990,428.6199951
河南,first_num,1990,325.769989
河南,second_num,1990,331.8500061
河南,third_num,1990,277.0299988
河南,tGDP,1990,934.6500244
辽宁,first_num,1990,168.6000061
辽宁,second_num,1990,540.7999878
辽宁,third_num,1990,353.2999878
辽宁,tGDP,1990,1062.699951
山西,first_num,1990,80.80999756
山西,second_num,1990,210.0700073
山西,third_num,1990,138.3899994
山西,tGDP,1990,429.269989
安徽,first_num,1990,246.1000061
安徽,second_num,1990,251.5
安徽,third_num,1990,160.3999939
安徽,tGDP,1990,658
福建,first_num,1990,147.0099945
福建,second_num,1990,174.4700012
福建,third_num,1990,200.8000031
福建,tGDP,1990,522.2800293
浙江,first_num,1990,225.0399933
浙江,second_num,1990,408.1799927
浙江,third_num,1990,271.4700012
浙江,tGDP,1990,904.6900024
江苏,first_num,1990,355.1700134
江苏,second_num,1990,692.5900269
江苏,third_num,1990,368.7399902
江苏,tGDP,1990,1416.5
重庆,first_num,1990,100.4000015
重庆,second_num,1990,115.7099991
重庆,third_num,1990,83.70999908
重庆,tGDP,1990,327.75
宁夏,first_num,1990,16.84000015
宁夏,second_num,1990,25.34000015
宁夏,third_num,1990,22.65999985
宁夏,tGDP,1990,64.83999634
海南,first_num,1990,45.70999908
海南,second_num,1990,20.19000053
海南,third_num,1990,36.52000046
海南,tGDP,1990,102.4199982
台湾,first_num,1990,0
台湾,second_num,1990,0
台湾,third_num,1990,0
台湾,tGDP,1990,0
北京,first_num,1990,43.88000107
北京,second_num,1990,262.3900146
北京,third_num,1990,194.5500031
北京,tGDP,1990,500.8200073
天津,first_num,1990,27.31999969
天津,second_num,1990,181.3800049
天津,third_num,1990,102.25
天津,tGDP,1990,310.9500122
上海,first_num,1990,34.24000168
上海,second_num,1990,505.6000061
上海,third_num,1990,241.8200073
上海,tGDP,1990,744.6699829
香港,first_num,1990,0
香港,second_num,1990,0
香港,third_num,1990,0
香港,tGDP,1990,0
澳门,first_num,1990,0
澳门,second_num,1990,0
澳门,third_num,1990,0
澳门,tGDP,1990,0
中国,first_num,1990,5017.200195
中国,second_num,1990,7744.299805
中国,third_num,1990,6111.399902
中国,tGDP,1990,18872.90039
新疆,first_num,1991,111.8600006
新疆,second_num,1991,107.9899979
新疆,third_num,1991,116.0699997
新疆,tGDP,1991,335.9100037
西藏,first_num,1991,15.5
西藏,second_num,1991,4.170000076
西藏,third_num,1991,10.85999966
西藏,tGDP,1991,30.53000069
内蒙古,first_num,1991,117.1900024
内蒙古,second_num,1991,124.0299988
内蒙古,third_num,1991,118.4400024
内蒙古,tGDP,1991,359.6600037
青海,first_num,1991,17.95999908
青海,second_num,1991,29.84000015
青海,third_num,1991,27.29999924
青海,tGDP,1991,75.09999847
四川,first_num,1991,339
四川,second_num,1991,376.480011
四川,third_num,1991,300.8299866
四川,tGDP,1991,1016.309998
黑龙江,first_num,1991,148.3000031
黑龙江,second_num,1991,413.2999878
黑龙江,third_num,1991,260.7000122
黑龙江,tGDP,1991,822.2999878
甘肃,first_num,1991,66.55000305
甘肃,second_num,1991,111.9100037
甘肃,third_num,1991,92.93000031
甘肃,tGDP,1991,271.3900146
云南,first_num,1991,169.4799957
云南,second_num,1991,179.5599976
云南,third_num,1991,168.3699951
云南,tGDP,1991,517.4099731
广西,first_num,1991,195.1699982
广西,second_num,1991,141.0200043
广西,third_num,1991,182.3999939
广西,tGDP,1991,518.5900269
湖南,first_num,1991,301.019989
湖南,second_num,1991,285.2900085
湖南,third_num,1991,246.9900055
湖南,tGDP,1991,833.2999878
陕西,first_num,1991,116.8799973
陕西,second_num,1991,197.5399933
陕西,third_num,1991,153.9499969
陕西,tGDP,1991,468.3699951
广东,first_num,1991,416
